Age,Attrition,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole
34,1,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,Research Scientist,1,Single,2960,2,0,3,0,8,2,3,4,2
53,0,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,Manager,3,Divorced,19094,4,0,4,1,26,3,2,14,13
32,1,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,Research Scientist,1,Single,3919,1,1,2,0,10,5,3,10,2
42,0,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,Sales Executive,2,Married,6825,0,0,4,1,10,2,3,9,7
44,0,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,Healthcare Representative,4,Married,10248,3,0,4,1,24,4,3,22,6
46,0,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,Manager,1,Single,18947,3,0,4,0,22,2,2,2,2
33,0,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,Laboratory Technician,4,Single,2496,4,0,4,0,7,3,3,1,1
44,0,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,Healthcare Representative,4,Married,6465,2,1,4,0,9,5,4,4,2
30,0,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,Laboratory Technician,3,Single,2206,1,0,1,0,10,5,3,10,0
39,1,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,Sales Representative,4,Married,2086,3,0,3,1,19,6,4,1,0
24,1,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,Research Scientist,4,Married,2293,2,1,1,1,6,2,2,2,0
43,0,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,Research Scientist,3,Divorced,2645,1,0,4,2,6,3,2,5,3
50,1,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,Sales Representative,3,Married,2683,1,1,3,0,3,2,3,3,2
35,0,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,Sales Representative,4,Married,2014,1,0,1,0,2,3,3,2,2
36,0,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,Research Scientist,1,Married,3419,9,1,4,1,6,3,4,1,1
33,0,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,Sales Executive,1,Married,5376,2,0,1,2,10,3,3,5,3
35,0,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,Laboratory Technician,4,Divorced,1951,1,0,3,1,1,3,3,1,0
27,0,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,Laboratory Technician,1,Divorced,2341,1,0,4,1,1,6,3,1,0
26,1,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,2293,1,0,3,0,1,2,2,1,0
27,0,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,Sales Executive,3,Single,8726,1,0,4,0,9,0,3,9,8
30,0,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,Laboratory Technician,4,Single,4011,1,0,4,0,12,2,3,12,8
41,1,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,Research Director,3,Married,19545,1,0,4,0,23,0,3,22,15
34,0,Non-Travel,Sales,23,4,Marketing,2,Male,3,Sales Executive,3,Single,4568,0,0,3,0,10,2,3,9,5
37,0,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,Research Scientist,2,Married,3022,4,0,1,0,8,1,3,1,0
46,0,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,Sales Executive,4,Single,5772,4,1,3,0,14,4,3,9,6
35,0,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,Laboratory Technician,4,Married,2269,1,0,4,0,1,2,3,1,0
48,1,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,Laboratory Technician,3,Single,5381,9,1,4,0,23,2,3,1,0
28,1,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,Laboratory Technician,3,Single,3441,1,1,3,0,2,3,2,2,2
44,0,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,Sales Executive,1,Divorced,5454,5,1,3,1,9,2,2,4,3
35,0,Non-Travel,Research & Development,11,2,Medical,3,Male,2,Healthcare Representative,1,Married,9884,2,1,3,1,10,3,3,4,0
26,0,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,Sales Executive,4,Married,4157,7,1,3,1,5,2,2,2,2
33,0,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,Research Director,4,Single,13458,1,1,3,0,15,1,3,15,14
35,0,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,Sales Executive,1,Married,9069,1,0,4,1,9,3,2,9,8
35,0,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,Laboratory Technician,1,Married,4014,3,1,3,1,4,3,3,2,2
31,0,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,Laboratory Technician,4,Divorced,5915,3,0,4,1,10,3,2,7,7
37,0,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,Manufacturing Director,3,Divorced,5993,1,0,3,1,7,2,4,7,5
32,0,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,Manufacturing Director,4,Married,6162,1,1,2,1,9,3,3,9,8
38,0,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,Laboratory Technician,4,Single,2406,1,0,4,0,10,2,3,10,3
50,0,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,Research Director,3,Divorced,18740,5,1,4,1,29,2,2,27,3
59,0,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,Sales Executive,1,Single,7637,7,0,4,0,28,3,2,21,16
36,0,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,Healthcare Representative,3,Divorced,10096,1,0,2,3,17,2,3,17,14
55,0,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,Manager,3,Divorced,14756,2,1,3,3,21,2,3,5,0
36,0,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,Manufacturing Director,2,Single,6499,1,0,3,0,6,3,3,6,5
45,0,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,Research Scientist,1,Divorced,9724,2,0,3,1,25,2,3,1,0
35,0,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,Research Scientist,1,Married,2194,4,0,4,1,5,2,2,3,2
36,1,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,Research Scientist,3,Married,3388,0,1,1,1,2,0,2,1,0
59,0,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,Sales Executive,3,Single,5473,7,0,4,0,20,2,2,4,3
29,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,Research Scientist,2,Married,2703,0,0,4,1,6,3,3,5,4
31,0,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,Research Scientist,2,Single,2501,1,0,2,0,1,4,3,1,1
32,0,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,Research Scientist,2,Married,6220,1,0,2,2,10,3,3,10,4
36,0,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,Laboratory Technician,4,Married,3038,3,0,2,0,5,3,3,1,0
31,0,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,Manufacturing Director,4,Single,4424,1,0,4,0,11,2,3,11,7
35,0,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,Sales Executive,1,Single,4312,0,0,2,0,16,2,3,15,13
45,0,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,Research Director,1,Married,13245,4,1,2,0,17,3,4,0,0
37,0,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,Research Director,3,Single,13664,4,0,1,0,16,3,4,5,2
46,0,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,Human Resources,2,Divorced,5021,8,1,4,1,16,2,3,4,2
30,0,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,Laboratory Technician,4,Married,5126,1,1,3,2,10,1,2,10,8
35,0,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,Research Scientist,3,Single,2859,1,0,1,0,6,3,3,6,4
55,0,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,Sales Executive,4,Married,10239,3,0,4,1,24,4,3,1,0
38,0,Non-Travel,Research & Development,6,3,Medical,2,Female,1,Research Scientist,4,Divorced,5329,7,1,4,3,17,3,3,13,11
34,0,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,Manufacturing Director,2,Married,4325,1,0,3,0,5,2,3,5,2
56,0,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,Manufacturing Director,4,Single,7260,4,0,1,0,37,3,2,6,4
23,0,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,Sales Representative,1,Divorced,2322,3,0,3,1,3,3,3,0,0
51,0,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,Laboratory Technician,4,Married,2075,3,0,2,2,10,4,3,4,2
30,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,Healthcare Representative,4,Married,4152,1,0,1,3,11,3,3,11,10
46,1,Travel_Rarely,Sales,9,2,Medical,3,Male,2,Sales Executive,4,Single,9619,1,0,4,0,9,3,3,9,8
40,0,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,Healthcare Representative,2,Married,13503,1,0,4,1,22,3,2,22,3
51,0,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,Sales Executive,4,Single,5441,0,1,4,0,11,2,1,10,7
30,0,Travel_Rarely,Sales,4,2,Medical,3,Female,2,Sales Executive,2,Divorced,5209,1,1,2,3,11,4,2,11,8
46,0,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,Healthcare Representative,1,Married,10673,2,1,3,1,21,5,2,10,9
32,0,Travel_Rarely,Sales,6,4,Medical,2,Male,3,Sales Executive,3,Single,5010,1,0,1,0,12,0,3,11,8
54,0,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,Research Director,3,Married,13549,9,0,1,1,16,5,1,4,3
24,0,Travel_Rarely,Sales,3,2,Other,1,Female,3,Sales Executive,3,Married,4999,0,0,1,1,4,2,2,3,2
28,0,Non-Travel,Sales,4,3,Medical,2,Male,3,Sales Executive,3,Married,4221,1,0,2,0,5,3,4,5,4
58,0,Travel_Rarely,Sales,10,4,Medical,4,Male,3,Sales Executive,3,Single,13872,0,0,3,0,38,1,2,37,10
44,0,Non-Travel,Research & Development,23,3,Medical,2,Male,3,Laboratory Technician,2,Married,2042,4,0,3,1,17,3,4,3,2
37,1,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,Human Resources,1,Divorced,2073,4,1,4,0,7,3,3,3,2
32,0,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,Research Scientist,1,Single,2956,1,0,4,0,1,2,3,1,0
20,1,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,Laboratory Technician,4,Single,2926,1,1,2,0,1,5,3,1,0
34,0,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,Research Scientist,3,Single,4809,1,0,3,0,16,3,3,16,13
37,0,Non-Travel,Research & Development,2,2,Life Sciences,3,Male,2,Healthcare Representative,4,Divorced,5163,5,0,4,1,17,2,4,1,0
59,0,Non-Travel,Human Resources,2,4,Human Resources,3,Female,2,Manager,4,Married,18844,9,0,4,1,30,3,3,3,2
50,0,Travel_Frequently,Research & Development,1,3,Life Sciences,1,Female,3,Research Director,2,Married,18172,3,1,1,0,28,1,2,8,3
25,1,Travel_Rarely,Sales,5,3,Marketing,3,Male,2,Sales Executive,3,Single,5744,1,1,4,0,6,1,3,6,4
25,0,Travel_Rarely,Research & Development,7,1,Medical,4,Male,2,Research Scientist,4,Married,2889,1,0,3,2,2,2,3,2,2
22,0,Travel_Rarely,Research & Development,15,3,Medical,2,Female,3,Laboratory Technician,4,Single,2871,1,0,3,0,1,5,3,0,0
51,0,Travel_Frequently,Research & Development,1,4,Medical,1,Female,2,Healthcare Representative,1,Single,7484,3,0,3,0,23,1,2,13,12
34,1,Travel_Frequently,Research & Development,7,3,Life Sciences,1,Male,1,Laboratory Technician,3,Single,6074,1,1,4,0,9,3,3,9,7
54,0,Non-Travel,Human Resources,26,3,Human Resources,4,Female,4,Manager,4,Single,17328,2,1,3,0,23,3,3,5,3
24,0,Travel_Rarely,Research & Development,18,1,Life Sciences,2,Male,3,Laboratory Technician,3,Married,2774,0,0,3,1,6,2,3,5,3
34,0,Travel_Rarely,Research & Development,6,4,Life Sciences,3,Female,2,Research Scientist,2,Divorced,4505,6,0,3,1,12,3,3,1,0
37,0,Travel_Rarely,Sales,3,3,Life Sciences,3,Male,3,Sales Executive,4,Single,7428,2,0,1,0,12,3,3,5,3
34,0,Travel_Rarely,Research & Development,5,3,Medical,3,Female,2,Manager,1,Single,11631,2,0,4,0,14,6,3,11,10
36,0,Travel_Frequently,Sales,11,2,Technical Degree,2,Female,3,Sales Executive,4,Married,9738,0,0,3,1,10,6,3,9,7
36,0,Travel_Rarely,Research & Development,3,2,Life Sciences,1,Female,3,Laboratory Technician,4,Divorced,2835,5,0,1,1,7,2,3,1,0
43,0,Travel_Frequently,Sales,26,2,Life Sciences,3,Male,3,Manager,4,Married,16959,1,1,4,2,25,3,4,25,12
30,0,Travel_Frequently,Research & Development,23,3,Life Sciences,1,Male,1,Research Scientist,3,Divorced,2613,1,0,3,3,10,2,2,10,7
33,0,Non-Travel,Sales,22,2,Marketing,3,Male,3,Sales Executive,2,Married,6146,0,0,1,1,8,2,4,7,7
56,1,Travel_Rarely,Research & Development,14,4,Life Sciences,2,Female,3,Research Scientist,2,Married,4963,9,1,1,3,7,2,3,5,4
51,0,Travel_Rarely,Research & Development,6,3,Life Sciences,1,Male,3,Research Director,3,Single,19537,7,0,3,0,23,5,3,20,18
31,1,Travel_Rarely,Sales,6,4,Life Sciences,2,Male,1,Sales Executive,3,Married,6172,4,1,2,0,12,3,2,7,7
26,0,Travel_Rarely,Research & Development,6,3,Other,3,Female,2,Research Scientist,2,Married,2368,1,0,3,0,5,3,2,5,4
58,1,Travel_Rarely,Research & Development,23,4,Medical,4,Female,3,Healthcare Representative,4,Married,10312,1,0,4,1,40,3,2,40,10
19,1,Travel_Rarely,Sales,22,1,Marketing,4,Male,3,Sales Representative,3,Single,1675,1,1,4,0,0,2,2,0,0
22,0,Travel_Rarely,Research & Development,2,1,Technical Degree,3,Male,3,Laboratory Technician,4,Married,2523,0,0,3,1,3,2,3,2,1
49,0,Travel_Rarely,Research & Development,20,4,Medical,3,Female,3,Manufacturing Director,1,Married,6567,1,0,3,0,16,2,2,15,11
43,0,Travel_Frequently,Research & Development,28,3,Medical,2,Female,4,Research Scientist,3,Single,4739,4,0,4,0,18,2,3,3,2
50,0,Travel_Frequently,Sales,12,3,Marketing,3,Female,3,Sales Executive,4,Single,9208,4,0,4,0,16,3,3,2,2
31,1,Travel_Rarely,Sales,20,3,Life Sciences,2,Female,1,Sales Executive,3,Married,4559,3,1,3,1,4,2,3,2,2
41,0,Travel_Rarely,Sales,9,1,Life Sciences,3,Male,3,Sales Executive,3,Divorced,8189,3,1,3,1,12,2,3,9,7
26,0,Travel_Rarely,Human Resources,25,1,Life Sciences,3,Female,3,Human Resources,3,Married,2942,1,0,4,1,8,3,3,8,7
36,0,Travel_Rarely,Research & Development,6,2,Medical,2,Male,3,Manufacturing Director,2,Divorced,4941,6,0,4,2,7,0,3,3,2
51,1,Travel_Frequently,Research & Development,8,4,Life Sciences,1,Male,1,Manufacturing Director,4,Single,10650,2,0,4,0,18,2,3,4,2
39,0,Travel_Rarely,Sales,4,4,Life Sciences,4,Female,2,Sales Executive,3,Married,5902,4,0,3,1,17,1,4,15,11
25,0,Travel_Rarely,Sales,28,3,Life Sciences,1,Male,2,Sales Executive,3,Married,8639,2,0,4,0,6,3,3,2,2
30,0,Travel_Rarely,Human Resources,9,3,Human Resources,3,Male,3,Human Resources,4,Married,6347,0,1,4,0,12,2,1,11,9
32,1,Travel_Rarely,Research & Development,9,3,Medical,1,Female,3,Laboratory Technician,1,Single,4200,7,0,1,0,10,2,4,5,4
45,0,Travel_Rarely,Research & Development,29,3,Medical,3,Male,3,Research Scientist,4,Single,3452,5,0,2,0,9,2,2,6,5
38,0,Travel_Rarely,Research & Development,3,5,Technical Degree,4,Female,3,Research Scientist,3,Single,4317,3,1,2,0,19,2,3,3,2
30,0,Travel_Rarely,Research & Development,18,3,Life Sciences,1,Female,3,Research Scientist,3,Single,2632,1,0,3,0,5,4,2,5,4
32,0,Travel_Frequently,Sales,9,2,Medical,4,Male,1,Sales Executive,4,Divorced,4668,0,0,4,3,9,2,4,8,7
30,0,Travel_Rarely,Research & Development,5,3,Technical Degree,4,Female,3,Research Scientist,1,Divorced,3204,5,0,4,1,8,3,3,3,2
30,0,Travel_Rarely,Research & Development,2,1,Medical,2,Male,2,Laboratory Technician,4,Single,2720,0,0,4,0,6,3,3,5,3
41,0,Travel_Frequently,Research & Development,10,3,Life Sciences,4,Male,2,Manager,1,Divorced,17181,4,0,2,1,21,2,2,7,6
41,0,Travel_Rarely,Research & Development,9,4,Life Sciences,3,Male,3,Laboratory Technician,1,Married,2238,2,0,4,1,7,2,3,5,0
19,0,Travel_Rarely,Research & Development,3,1,Medical,2,Female,3,Laboratory Technician,2,Single,1483,1,0,4,0,1,3,3,1,0
40,0,Travel_Frequently,Research & Development,26,3,Medical,2,Female,3,Research Scientist,2,Divorced,5605,1,0,1,1,20,2,3,20,7
35,0,Travel_Rarely,Sales,1,5,Marketing,3,Male,3,Sales Executive,2,Married,7295,1,0,1,2,10,3,3,10,8
53,0,Travel_Rarely,Sales,6,2,Marketing,2,Male,3,Sales Representative,3,Married,2306,2,1,4,1,13,3,1,7,7
45,0,Travel_Rarely,Research & Development,9,3,Life Sciences,2,Male,3,Laboratory Technician,2,Divorced,2348,8,0,3,1,20,2,1,17,9
32,0,Travel_Frequently,Sales,8,3,Marketing,2,Female,3,Sales Executive,4,Single,8998,1,0,4,0,9,2,3,9,8
29,0,Non-Travel,Research & Development,1,1,Technical Degree,4,Male,3,Manufacturing Director,3,Married,4319,1,0,1,1,10,1,3,10,7
51,0,Travel_Rarely,Research & Development,7,4,Medical,2,Male,2,Manufacturing Director,3,Married,6132,2,0,3,0,10,2,3,1,0
58,0,Travel_Rarely,Research & Development,9,3,Medical,2,Female,2,Research Scientist,2,Married,3346,4,1,2,1,9,3,2,1,0
40,0,Travel_Rarely,Sales,4,4,Marketing,3,Male,2,Sales Executive,4,Married,10855,7,0,1,1,15,2,2,12,11
34,0,Travel_Frequently,Sales,2,4,Marketing,3,Female,3,Sales Representative,3,Married,2231,6,0,4,1,6,3,3,4,3
22,0,Travel_Rarely,Research & Development,19,1,Medical,3,Male,3,Research Scientist,4,Married,2323,1,0,1,2,2,6,3,2,2
27,0,Non-Travel,Research & Development,9,3,Medical,4,Male,3,Research Scientist,2,Divorced,2024,6,0,4,1,6,1,1,2,2
28,0,Travel_Rarely,Research & Development,21,3,Medical,3,Male,3,Research Scientist,4,Married,2713,1,0,3,1,5,2,1,5,2
57,0,Travel_Rarely,Research & Development,24,2,Life Sciences,3,Male,4,Healthcare Representative,4,Divorced,9439,3,1,2,1,12,2,1,5,3
27,0,Non-Travel,Research & Development,3,3,Medical,3,Male,2,Research Scientist,3,Divorced,2566,1,1,4,1,1,2,2,1,1
50,0,Travel_Rarely,Research & Development,11,3,Life Sciences,3,Female,3,Manager,2,Single,19926,3,0,2,0,21,5,3,5,4
41,0,Travel_Rarely,Research & Development,14,3,Life Sciences,1,Male,3,Research Scientist,3,Divorced,2451,4,0,1,1,13,2,3,9,8
30,0,Travel_Rarely,Sales,5,3,Life Sciences,2,Female,3,Sales Executive,4,Married,9419,2,0,3,1,12,2,3,10,9
38,0,Travel_Rarely,Sales,1,4,Life Sciences,1,Female,2,Sales Executive,4,Single,8686,4,0,3,0,12,2,4,8,3
32,0,Travel_Rarely,Research & Development,6,5,Life Sciences,3,Male,3,Research Scientist,3,Single,3038,3,0,1,0,8,2,3,5,4
27,0,Travel_Rarely,Research & Development,17,3,Technical Degree,3,Male,3,Research Scientist,2,Married,3058,0,1,4,1,6,3,2,5,2
19,1,Travel_Frequently,Sales,1,1,Technical Degree,3,Female,1,Sales Representative,1,Single,2325,0,0,1,0,1,5,4,0,0
36,0,Travel_Frequently,Research & Development,3,2,Medical,4,Male,3,Laboratory Technician,2,Single,2088,4,0,3,0,13,3,2,8,7
30,0,Non-Travel,Research & Development,9,3,Medical,3,Male,3,Laboratory Technician,1,Divorced,3072,1,0,3,2,12,4,3,12,9
45,0,Travel_Rarely,Sales,4,2,Life Sciences,3,Female,3,Sales Executive,1,Divorced,5006,4,1,1,1,9,3,4,5,4
56,0,Travel_Rarely,Research & Development,8,3,Life Sciences,3,Female,3,Research Scientist,1,Divorced,4257,4,1,3,1,19,3,3,2,2
33,0,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,Research Scientist,4,Single,2500,0,0,1,0,4,2,4,3,1
19,1,Travel_Rarely,Research & Development,2,3,Life Sciences,2,Male,2,Laboratory Technician,4,Single,1102,1,0,3,0,1,3,2,1,0
46,0,Travel_Rarely,Sales,1,2,Marketing,2,Female,3,Sales Executive,1,Divorced,10453,1,0,3,3,24,2,3,24,13
38,0,Travel_Rarely,Research & Development,9,2,Life Sciences,3,Female,3,Laboratory Technician,4,Single,2288,1,0,3,0,2,3,3,2,2
31,0,Travel_Rarely,Research & Development,12,1,Medical,3,Female,3,Research Scientist,4,Married,3929,8,1,3,1,7,0,3,4,2
34,0,Travel_Rarely,Research & Development,27,2,Medical,4,Female,3,Research Scientist,2,Single,2311,2,0,4,0,9,3,3,3,2
41,1,Travel_Rarely,Sales,20,2,Marketing,2,Female,3,Sales Representative,2,Single,3140,1,1,4,0,4,5,2,4,3
50,0,Travel_Rarely,Research & Development,1,3,Medical,3,Male,2,Laboratory Technician,3,Married,3690,2,0,4,1,5,2,2,3,2
53,0,Travel_Rarely,Research & Development,13,2,Medical,4,Female,4,Manufacturing Director,1,Divorced,4450,1,0,3,2,5,3,3,4,2
33,0,Travel_Rarely,Research & Development,14,3,Medical,4,Female,3,Research Scientist,2,Married,2756,1,0,4,1,8,5,3,8,7
40,0,Travel_Rarely,Research & Development,4,1,Medical,4,Female,3,Manager,3,Married,19033,1,0,2,1,21,2,3,20,8
55,0,Travel_Rarely,Research & Development,14,4,Medical,3,Male,4,Research Director,2,Single,18722,8,0,4,0,36,3,3,24,15
34,0,Travel_Frequently,Research & Development,2,1,Life Sciences,4,Male,2,Manufacturing Director,3,Married,9547,1,0,3,0,10,2,2,10,9
51,0,Travel_Rarely,Research & Development,3,3,Medical,4,Female,3,Healthcare Representative,2,Single,13734,3,0,3,0,21,6,3,7,7
52,0,Travel_Rarely,Research & Development,1,4,Life Sciences,3,Male,2,Manager,3,Married,19999,0,0,1,1,34,5,3,33,18
27,0,Travel_Rarely,Research & Development,9,3,Medical,4,Female,3,Research Scientist,2,Single,2279,1,0,4,0,7,2,2,7,7
35,1,Travel_Rarely,Research & Development,23,2,Life Sciences,2,Male,2,Manufacturing Director,3,Married,5916,3,1,1,0,8,1,3,1,0
43,0,Non-Travel,Research & Development,7,3,Medical,4,Male,4,Research Scientist,4,Divorced,2089,4,0,4,3,7,3,4,5,4
45,0,Non-Travel,Research & Development,2,2,Medical,1,Male,2,Manager,4,Married,16792,9,0,4,1,22,1,3,20,8
37,0,Travel_Rarely,Research & Development,21,3,Life Sciences,2,Male,4,Research Scientist,1,Married,3564,1,1,1,1,8,3,2,8,7
35,0,Travel_Frequently,Research & Development,2,3,Medical,2,Female,3,Laboratory Technician,2,Single,4425,5,0,4,0,10,5,3,6,2
42,0,Non-Travel,Research & Development,21,2,Medical,3,Female,3,Manufacturing Director,3,Divorced,5265,2,0,2,1,11,5,3,5,3
